145Nd,42.,30.,7.007,144.9125793
146Nd,1.4,9.5,7.007,145.9131226
148Nd,2.5,4.1,7.007,147.9168993
150Nd,1.2,3.5,7.007,149.9209022
Pm,168.4,21.3,7.2,145
Sm,5922.,39.,7.52,150.36
144Sm,0.7,1.,7.52,143.9120065
147Sm,57.,39.,7.52,146.9149044
148Sm,2.4,1.,7.52,147.9148292
149Sm,42080.,200.,7.52,148.9171921
150Sm,104.,25.,7.52,149.9172829
152Sm,206.,3.1,7.52,151.9197397
154Sm,8.4,11.,7.52,153.9222169
Eu,4530.,9.2,5.243,151.964
151Eu,9100.,8.6,5.243,150.9198578
153Eu,312.,9.8,5.243,152.921238
Gd,49700.,180.,7.9,157.25
152Gd,735.,13.,7.9,151.9197995
154Gd,85.,13.,7.9,153.9208741
155Gd,61100.,66.,7.9,154.9226305
156Gd,1.5,5,7.9,155.9221312
157Gd,259000.,1044.,7.9,156.9239686
158Gd,2.2,10.,7.9,157.9241123
160Gd,0.77,10.52,7.9,159.9270624
Tb,23.4,6.84,8.229,158.92535
Dy,994.,90.3,8.55,162.5
156Dy,33.,4.7,8.55,155.9242847
158Dy,43.,5.,8.55,157.9244159
160Dy,56.,5.6,8.55,159.9252046
161Dy,600.,16.,8.55,160.9269405
162Dy,194.,0.25,8.55,161.9268056
163Dy,124.,3.3,8.55,162.9287383
164Dy,2840.,307.,8.55,163.9291819
Ho,64.7,8.42,8.795,164.93033
Er,159.,8.7,9.06,167.259
162Er,19.,9.7,9.06,161.9287884
164Er,13.,8.4,9.06,163.9292088
166Er,19.6,14.1,9.06,165.9302995
167Er,659.,1.2,9.06,166.9320546
168Er,2.74,6.9,9.06,167.9323767
170Er,5.8,11.6,9.06,169.9354702
Tm,100.,6.38,9.321,168.93422
Yb,34.8,23.4,6.9654,173.054
168Yb,2230.,2.13,6.9654,167.9338896
170Yb,11.4,5.8,6.9654,169.9347664
171Yb,48.6,15.6,6.9654,170.9363302
172Yb,0.8,11.2,6.9654,171.9363859
173Yb,17.1,15,6.9654,172.9382151
174Yb,69.4,46.8,6.9654,173.9388664
176Yb,2.85,9.6,6.9654,175.9425764
Lu,74.,7.2,9.8404,174.9668
175Lu,21.,7.2,9.8404,174.9407752
176Lu,2065.,5.9,9.8404,175.9426897
Hf,104.1,10.2,13.31,178.49
174Hf,561.,15.,13.31,173.9400461
176Hf,23.5,5.5,13.31,175.9414076
177Hf,373.,0.2,13.31,176.9432277
178Hf,84.,4.4,13.31,177.9437058
179Hf,41.,7.1,13.31,178.9458232
180Hf,13.04,21.9,13.31,179.946557
Ta,20.6,6.01,16.654,180.94788
180Ta,563.,7.,16.654,179.9474648
181Ta,20.5,6.01,16.654,180.9479958
W,18.3,4.6,19.3,183.84
180W,30.,3.,19.3,179.9467108
182W,20.7,6.1,19.3,181.94820394
183W,10.1,5.7,19.3,182.95022275
184W,1.7,7.03,19.3,183.95093092
186W,37.9,0.065,19.3,185.9543628
Re,89.7,11.5,21.02,186.207
185Re,112.,10.7,21.02,184.9529545
187Re,76.4,11.9,21.02,186.9557501
Os,16,14.7,22.57,190.23
184Os,3000.,13.,22.57,183.9524885
